[2025-04-30 06:32:03.544] [info] [api.cc:223] - f_add, executed 5 times, duration 0.002829067s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - f_negate, executed 2 times, duration 0.002419308s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - _mux, executed 4 times, duration 0.001985239s, send bytes 8320 recv bytes 8320, send actions 8, recv actions 8
[2025-04-30 06:32:03.544] [info] [api.cc:223] - seal, executed 2 times, duration 5.58e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:220] MPC profiling: total time 79.987392621
[2025-04-30 06:32:03.544] [info] [api.cc:223] - mmul_aa, executed 4 times, duration 31.028209907s, send bytes 261538101 recv bytes 261536873, send actions 1171, recv actions 1171
[2025-04-30 06:32:03.544] [info] [api.cc:223] - a2b, executed 2 times, duration 14.653418687s, send bytes 243691296 recv bytes 230910864, send actions 123662, recv actions 62174
[2025-04-30 06:32:03.544] [info] [api.cc:223] - trunc_a, executed 39 times, duration 11.098224048s, send bytes 106443008 recv bytes 25623792, send actions 107156, recv actions 45668
[2025-04-30 06:32:03.544] [info] [api.cc:223] - b2a, executed 4 times, duration 5.965545437s, send bytes 243299328 recv bytes 4851136, send actions 290, recv actions 98
[2025-04-30 06:32:03.544] [info] [api.cc:223] - and_bb, executed 12 times, duration 4.65252305s, send bytes 84160544 recv bytes 96940976, send actions 588, recv actions 62076
[2025-04-30 06:32:03.544] [info] [api.cc:223] - msb_a2b, executed 766 times, duration 4.538805359s, send bytes 73933664 recv bytes 26873056, send actions 14682, recv actions 76122
[2025-04-30 06:32:03.544] [info] [api.cc:223] - mul_aa, executed 17 times, duration 3.065319421s, send bytes 1029775962 recv bytes 1029777605, send actions 6920, recv actions 6920
[2025-04-30 06:32:03.544] [info] [api.cc:223] - square_s, executed 18 times, duration 2.901193002s, send bytes 663545602 recv bytes 664843849, send actions 4645, recv actions 4645
[2025-04-30 06:32:03.544] [info] [api.cc:223] - perm_ss, executed 256 times, duration 1.799166253s, send bytes 23130346 recv bytes 29025107, send actions 5796, recv actions 5796
[2025-04-30 06:32:03.544] [info] [api.cc:223] - b2p, executed 760 times, duration 0.055889917s, send bytes 151424 recv bytes 151424, send actions 760, recv actions 760
[2025-04-30 06:32:03.544] [info] [api.cc:223] - mmul_ap, executed 1 times, duration 0.040213393s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - xor_bb, executed 26 times, duration 0.033612271s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - add_ap, executed 18 times, duration 0.033120823s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - negate_a, executed 781 times, duration 0.030746403s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - add_aa, executed 781 times, duration 0.0232522s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - mul_ap, executed 3 times, duration 0.014757445s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - rshift_b, executed 14 times, duration 0.014001125s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - bitrev_b, executed 2 times, duration 0.010926322s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - reshape, executed 406 times, duration 0.008539857s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - xor_bp, executed 2 times, duration 0.002922641s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - and_bp, executed 2 times, duration 0.002847266s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - add_pp, executed 2 times, duration 0.002608148s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - negate_p, executed 3 times, duration 0.002203372s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - mul_a1b, executed 4 times, duration 0.001877295s, send bytes 8320 recv bytes 8320, send actions 8, recv actions 8
[2025-04-30 06:32:03.544] [info] [api.cc:223] - extract_slice, executed 1115 times, duration 0.00185604s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - p2a, executed 130 times, duration 0.001525089s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - lshift_p, executed 2 times, duration 0.001327566s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - broadcast, executed 722 times, duration 0.001219634s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - rand_perm_s, executed 128 times, duration 0.001021726s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - concatenate, executed 2 times, duration 0.00042064s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - transpose, executed 7 times, duration 6.4742e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - make_p, executed 8 times, duration 3.3542e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:233] Link details: total send bytes 2729677595, recv bytes 2370543002, send actions 265678, recv actions 265438
