[2025-04-30 06:28:59.937] [info] [api.cc:223] - f_add, executed 4 times, duration 0.007090518s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - f_negate, executed 2 times, duration 0.002435566s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - _mux, executed 3 times, duration 0.00129262s, send bytes 4160 recv bytes 4160, send actions 6, recv actions 6
[2025-04-30 06:28:59.937] [info] [api.cc:223] - seal, executed 2 times, duration 5.2263e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:220] MPC profiling: total time 65.26988094999999
[2025-04-30 06:28:59.937] [info] [api.cc:223] - mmul_aa, executed 4 times, duration 24.758076263s, send bytes 153882086 recv bytes 153880984, send actions 667, recv actions 667
[2025-04-30 06:28:59.937] [info] [api.cc:223] - a2b, executed 2 times, duration 10.960870234s, send bytes 153381776 recv bytes 153381776, send actions 62174, recv actions 62174
[2025-04-30 06:28:59.937] [info] [api.cc:223] - trunc_a, executed 39 times, duration 10.510187141s, send bytes 79243712 recv bytes 24453424, send actions 107156, recv actions 45668
[2025-04-30 06:28:59.937] [info] [api.cc:223] - msb_a2b, executed 717 times, duration 5.353400361s, send bytes 47967800 recv bytes 21939512, send actions 13752, recv actions 75240
[2025-04-30 06:28:59.937] [info] [api.cc:223] - b2a, executed 4 times, duration 4.799217692s, send bytes 156824576 recv bytes 3126352, send actions 242, recv actions 98
[2025-04-30 06:28:59.937] [info] [api.cc:223] - mul_aa, executed 17 times, duration 3.171494551s, send bytes 675796362 recv bytes 675789661, send actions 4544, recv actions 4544
[2025-04-30 06:28:59.937] [info] [api.cc:223] - square_s, executed 18 times, duration 2.385895946s, send bytes 437048758 recv bytes 438353568, send actions 3061, recv actions 3061
[2025-04-30 06:28:59.937] [info] [api.cc:223] - perm_ss, executed 256 times, duration 1.699178935s, send bytes 21435988 recv bytes 26898322, send actions 5784, recv actions 5784
[2025-04-30 06:28:59.937] [info] [api.cc:223] - and_bb, executed 12 times, duration 1.394152164s, send bytes 54246432 recv bytes 54246432, send actions 588, recv actions 588
[2025-04-30 06:28:59.937] [info] [api.cc:223] - b2p, executed 712 times, duration 0.056371668s, send bytes 132760 recv bytes 132760, send actions 712, recv actions 712
[2025-04-30 06:28:59.937] [info] [api.cc:223] - mmul_ap, executed 1 times, duration 0.042913864s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - add_ap, executed 18 times, duration 0.025132206s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - xor_bb, executed 26 times, duration 0.024721995s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - negate_a, executed 731 times, duration 0.021520984s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - rshift_b, executed 14 times, duration 0.013177678s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - bitrev_b, executed 2 times, duration 0.012521532s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - add_aa, executed 729 times, duration 0.009614073s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - mul_ap, executed 3 times, duration 0.007880447s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - reshape, executed 406 times, duration 0.004719284s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - and_bp, executed 2 times, duration 0.003819849s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - add_pp, executed 2 times, duration 0.002638053s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - negate_p, executed 3 times, duration 0.002268666s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - lshift_p, executed 2 times, duration 0.002102531s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - extract_slice, executed 1063 times, duration 0.001741503s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - p2a, executed 130 times, duration 0.001454892s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - mul_a1b, executed 3 times, duration 0.001219337s, send bytes 4160 recv bytes 4160, send actions 6, recv actions 6
[2025-04-30 06:28:59.937] [info] [api.cc:223] - broadcast, executed 674 times, duration 0.001041058s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - xor_bp, executed 2 times, duration 0.00099953s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - rand_perm_s, executed 128 times, duration 0.000990787s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - concatenate, executed 2 times, duration 0.000400022s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - transpose, executed 7 times, duration 9.8713e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - make_p, executed 8 times, duration 5.8991e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:233] Link details: total send bytes 1779964410, recv bytes 1552206951, send actions 198686, recv actions 198542
